Subject,Procedure[Trial],Start.OnsetTime,Images.OnsetTime,Condition.paramod,Images.ACC,Images.RT
35,2,29128,231074,0,1,394
35,2,29128,234793,0,1,966
35,2,29128,238595,0,1,641
35,2,29128,241368,0,1,885
35,2,29128,244988,0,1,600
35,2,29128,247627,0,1,749
35,2,29128,252310,0,1,451
35,2,29128,256095,0,1,671
35,2,29128,259399,0,1,791
35,1,29128,279356,2,1,1876
35,1,29128,282976,2,1,2665
35,1,29128,288306,1,1,2802
35,1,29128,293835,1,1,3319
35,1,29128,299862,2,1,1196
35,1,29128,303498,1,0,1654
35,1,29128,307682,1,1,1735
35,2,29128,329067,0,1,1013
35,2,29128,332421,0,1,734
35,2,29128,336488,0,1,564
35,2,29128,339992,0,1,862
35,2,29128,343196,0,1,575
35,2,29128,345587,0,1,802
35,2,29128,348825,0,1,596
35,2,29128,352461,0,1,1010
35,2,29128,355914,0,1,978
35,1,29128,376851,1,1,1792
35,1,29128,381483,1,0,2274
35,1,29128,385900,3,1,2051
